Lasse;11;false;Lasse@2;false;false
Tobias;99;true;Tobias@3;false;true
Gudit;31;true;Gudit@4;true;false
Harald;7;true;Harald@5;true;true
Lasse;83;false;Lasse@6;true;true
Carl;18;true;Carl@7;false;false
Lasse;33;false;Lasse@8;false;false
Tobias;2;true;Tobias@9;false;true
Tobias;42;false;Tobias@10;true;true
Gudit;64;true;Gudit@11;true;false
Harald;68;false;Harald@12;false;true
Erik;25;true;Erik@13;true;true
Lasse;28;true;Lasse@14;true;true
Gudit;20;true;Gudit@15;true;false
Gudit;32;false;Gudit@16;false;false
Gudit;94;true;Gudit@17;false;true
Carl;44;true;Carl@18;true;true
Harald;61;false;Harald@19;false;false
Harald;3;false;Harald@20;true;true
Carl;80;true;Carl@21;false;false
Erik;36;true;Erik@22;true;true
Tobias;43;true;Tobias@23;false;true
Tobias;41;true;Tobias@24;true;false
Carl;41;true;Carl@25;false;false
Lasse;36;true;Lasse@26;true;false
Carl;92;false;Carl@27;false;false
Erik;83;true;Erik@28;true;true
Gudit;43;true;Gudit@29;true;false
Gudit;91;true;Gudit@30;false;true
Tobias;25;false;Tobias@31;false;true
Carl;61;false;Carl@32;true;true
Erik;42;true;Erik@33;false;false
Harald;90;false;Harald@34;false;true
Carl;34;false;Carl@35;true;true
Carl;31;true;Carl@36;true;true
Lasse;6;true;Lasse@37;false;false
Harald;97;true;Harald@38;false;true
Tobias;31;false;Tobias@39;true;false
Lasse;6;false;Lasse@40;true;false
Lasse;24;true;Lasse@41;true;true
Erik;64;false;Erik@42;false;false
Carl;42;true;Carl@43;true;false
Carl;36;true;Carl@44;true;false
Lasse;73;true;Lasse@45;true;false
Erik;3;true;Erik@46;true;false
Lasse;18;true;Lasse@47;true;true
Carl;82;true;Carl@48;false;true
Tobias;27;false;Tobias@49;false;false
Carl;44;false;Carl@50;true;false
Lasse;1;false;Lasse@51;false;true
Harald;82;false;Harald@52;false;true
Gudit;15;true;Gudit@53;false;true
Tobias;18;false;Tobias@54;true;true
Tobias;97;false;Tobias@55;true;true
Erik;18;false;Erik@56;true;false
Carl;80;false;Carl@57;false;true
Harald;76;false;Harald@58;false;false
Lasse;86;true;Lasse@59;true;false
Erik;10;true;Erik@60;true;false
Gudit;68;true;Gudit@61;false;true
Gudit;31;true;Gudit@62;true;false
Tobias;11;true;Tobias@63;false;true
Carl;23;true;Carl@64;true;false
Erik;91;false;Erik@65;false;true
Harald;44;false;Harald@66;false;false
Carl;33;true;Carl@67;false;false
Erik;58;false;Erik@68;true;true
Tobias;19;false;Tobias@69;false;false
Erik;31;true;Erik@70;true;true
Lasse;43;false;Lasse@71;true;true
Carl;15;true;Carl@72;true;false
Erik;95;false;Erik@73;true;true
Erik;70;true;Erik@74;false;true
Gudit;12;true;Gudit@75;true;false
Gudit;70;false;Gudit@76;true;false
Lasse;29;true;Lasse@77;false;true
Carl;13;false;Carl@78;true;true
Tobias;25;true;Tobias@79;false;true
Lasse;80;false;Lasse@80;false;false
Harald;21;true;Harald@81;false;true
Gudit;73;false;Gudit@82;false;true
Harald;78;true;Harald@83;true;false
Tobias;59;true;Tobias@84;true;true
Gudit;17;false;Gudit@85;false;false
Erik;64;false;Erik@86;false;false
Harald;58;false;Harald@87;false;true
Harald;94;false;Harald@88;true;true
Tobias;25;true;Tobias@89;false;true
Gudit;86;true;Gudit@90;true;false
Erik;18;true;Erik@91;true;true
Gudit;13;false;Gudit@92;false;false
Harald;83;false;Harald@93;true;false
Tobias;23;false;Tobias@94;false;true
Lasse;76;false;Lasse@95;true;false
Lasse;68;true;Lasse@96;false;false
Lasse;5;true;Lasse@97;true;true
Lasse;46;false;Lasse@98;false;false
Lasse;22;true;Lasse@99;true;true
Gudit;98;true;Gudit@0;true;false
Erik;80;true;Erik@1;true;false
Harald;35;false;Harald@2;true;true
Lasse;22;false;Lasse@3;false;false
Erik;39;false;Erik@4;true;true
Gudit;26;false;Gudit@5;true;false
Harald;84;false;Harald@6;false;false
Gudit;32;true;Gudit@7;true;false
Tobias;39;false;Tobias@8;false;false
Erik;45;true;Erik@9;true;true
Harald;26;true;Harald@10;true;false
Tobias;95;true;Tobias@11;false;true
Harald;7;true;Harald@12;true;true
Carl;56;false;Carl@13;true;true
Lasse;83;false;Lasse@14;true;true
Lasse;46;false;Lasse@15;false;true
Gudit;59;true;Gudit@16;true;true
Gudit;58;true;Gudit@17;true;true
Lasse;14;true;Lasse@18;false;false
Tobias;45;true;Tobias@19;false;false
Gudit;5;false;Gudit@20;true;false
Gudit;49;false;Gudit@21;false;true
Gudit;60;true;Gudit@22;false;false
Erik;97;true;Erik@23;false;false
Carl;82;true;Carl@24;false;true
Gudit;74;true;Gudit@25;false;true
Harald;42;false;Harald@26;false;true
Tobias;80;false;Tobias@27;false;false
Tobias;60;true;Tobias@28;false;false
Carl;79;false;Carl@29;true;false
Gudit;44;true;Gudit@30;true;true
Gudit;1;false;Gudit@31;true;true
Gudit;47;true;Gudit@32;true;false
Harald;44;true;Harald@33;false;true
Harald;92;false;Harald@34;true;false
Tobias;77;true;Tobias@35;false;true
Harald;58;false;Harald@36;false;false
Carl;67;false;Carl@37;true;true
Lasse;93;false;Lasse@38;false;true
Harald;36;false;Harald@39;true;false
Carl;65;false;Carl@40;true;false
Gudit;60;true;Gudit@41;true;false
Harald;25;true;Harald@42;false;true
